SHIPMT_ID,ORIG_STATE,ORIG_MA,ORIG_CFS_AREA,DEST_STATE,DEST_MA,DEST_CFS_AREA,NAICS,QUARTER,SCTG,MODE,SHIPMT_VALUE,SHIPMT_WGHT,SHIPMT_DIST_GC,SHIPMT_DIST_ROUTED,TEMP_CNTL_YN,EXPORT_YN,EXPORT_CNTRY,HAZMAT,WGT_FACTOR
0000001,25,148,25-148,25,148,25-148,333,2,35,14,2178,11,14,17,N,N,N,N,208.5
0000002,42,428,42-428,06,41740,06-41740,311,3,35,14,344,11,2344,2734,N,N,N,N,193.3
0000003,26,220,26-220,47,314,47-314,322,2,27,04,4197,5134,470,579,N,N,N,N,51.2
0000004,20,556,20-556,20,556,20-556,323,1,29,04,116,6,3,3,N,N,N,N,238.7
0000005,12,99999,12-99999,12,99999,12-99999,4235,3,33,05,388,527,124,201,N,N,N,N,398.1
0000006,24,47900,24-47900,30,99999,30-99999,337,2,40,04,3716,1132,1942,2265,N,Y,C,N,21.9
0000007,19,99999,19-99999,19,99999,19-99999,337,3,26,05,43738,13501,16,22,N,N,N,N,310.5
0000008,06,41740,06-41740,06,99999,06-99999,4239,1,40,14,77,4,272,306,N,N,N,N,138.5
0000009,19,99999,19-99999,19,99999,19-99999,327,3,31,05,338,12826,10,15,N,N,N,N,2695.9
0000010,13,99999,13-99999,13,99999,13-99999,4237,2,34,05,145,22,21,28,N,N,N,N,489.1
0000011,55,99999,55-99999,36,464,36-464,333,2,35,14,482,1,536,834,N,N,N,N,194.9
0000012,39,184,39-184,42,99999,42-99999,325,2,20,04,7543,3960,105,143,N,N,N,N,77.2
0000013,33,148,33-148,34,408,34-408,4234,1,21,14,1159,3,218,241,N,N,N,N,570.2
0000014,31,99999,31-99999,31,99999,31-99999,325,1,04,04,1422,49037,14,14,N,N,N,N,535.2
0000015,26,99999,26-99999,27,99999,27-99999,332,3,33,14,52,11,463,582,N,N,N,N,3114.7
0000016,39,99999,39-99999,39,198,39-198,339,4,36,14,283,30,57,66,N,N,N,N,41.1
0000017,54,99999,54-99999,51,99999,51-99999,321,2,25,06,21303,65994,138,242,N,N,N,N,36.4
0000018,32,332,32-332,06,99999,06-99999,4232,4,30,14,461,110,328,520,N,N,N,N,1052.8
0000019,42,428,42-428,48,288,48-288,334,2,35,14,577,6,1311,1522,N,N,N,N,278.1
0000020,09,408,09-408,47,400,47-400,332,2,34,04,125,3,802,945,N,N,N,N,7869.9
0000021,54,99999,54-99999,39,184,39-184,325,2,24,04,2534,3223,217,262,N,N,N,N,70.0
0000022,17,99999,17-99999,19,99999,19-99999,4235,1,32,04,18698,50415,71,77,N,N,N,N,393.1
0000023,37,450,37-450,51,99999,51-99999,337,1,39,05,963,513,147,177,N,N,N,N,23.0
0000024,37,172,37-172,37,268,37-268,315,4,30,14,63,3,92,106,N,N,N,N,320.7
0000025,48,99999,48-99999,48,99999,48-99999,311,1,05,04,26498,33269,156,219,Y,N,N,N,114.3
0000026,18,176,18-176,55,99999,55-99999,332,1,32,05,22289,43304,222,263,N,N,N,N,30.1
0000027,06,348,06-348,13,122,13-122,327,2,31,14,13,7,1917,2205,N,N,N,N,162.2
0000028,13,99999,13-99999,20,99999,20-99999,323,1,29,04,301545,32405,755,969,N,N,N,N,4.9
0000029,06,348,06-348,20,312,20-312,4232,1,40,04,3035,378,1349,1621,N,N,N,N,135.9
0000030,06,99999,06-99999,06,99999,06-99999,4241,4,28,05,472,407,2,2,N,N,N,N,88.4
0000031,29,476,29-476,17,99999,17-99999,322,1,28,04,1766,3356,174,219,N,N,N,N,39.8
0000032,49,482,49-482,49,482,49-482,332,3,33,05,2824,1067,11,11,N,N,N,N,87.6
0000033,13,122,13-122,13,122,13-122,4244,2,03,05,539,1026,60,73,Y,N,N,N,747.4
0000034,42,99999,42-99999,44,148,44-148,326,4,24,04,15422,9947,320,376,N,N,N,N,96.1
0000035,18,176,18-176,18,176,18-176,45431,1,19,05,248,473,8,8,N,N,N,H,183.1
0000036,36,104,36-104,36,104,36-104,4238,2,24,05,308,16,17,21,N,N,N,N,309.0
