ORIG_MA,ORIG_STATE,ORIG_CFS_AREA,MA,Description
122,13,13-122,C,"Atlanta-Athens-Clarke County-Sandy Springs, GA  CFS Area "
142,01,01-142,C,"Birmingham-Hoover-Talladega, AL  CFS Area "
148,25,25-148,C,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (MA Part)"
148,33,33-148,C,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (NH Part)"
148,44,44-148,C,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (RI Part)"
160,36,36-160,C,"Buffalo-Cheektowaga, NY  CFS Area "
172,37,37-172,C,"Charlotte-Concord, NC-SC  CFS Area  (NC Part)"
176,17,17-176,C,"Chicago-Naperville, IL-IN-WI  CFS Area (IL Part)"
176,18,18-176,C,"Chicago-Naperville, IL-IN-WI  CFS Area (IN Part)"
178,21,21-178,C,"Cincinnati-Wilmington-Maysville, OH-KY-IN  CFS Area (KY Part)"
178,39,39-178,C,"Cincinnati-Wilmington-Maysville, OH-KY-IN  CFS Area (OH Part)"
184,39,39-184,C,"Cleveland-Akron-Canton, OH  CFS Area "
198,39,39-198,C,"Columbus-Marion-Zanesville, OH  CFS Area "
204,48,48-204,C,"Corpus Christi-Kingsville-Alice, TX  CFS Area "
206,48,48-206,C,"Dallas-Fort Worth, TX-OK  CFS Area (TX Part)"
212,39,39-212,C,"Dayton-Springfield-Sidney, OH  CFS Area "
216,08,08-216,C,"Denver-Aurora, CO  CFS Area "
220,26,26-220,C,"Detroit-Warren-Ann Arbor, MI  CFS Area "
238,48,48-238,C,"El Paso-Las Cruces, TX-NM  CFS Area (TX Part)"
258,18,18-258,C,"Fort Wayne-Huntington-Auburn, IN  CFS Area "
260,06,06-260,C,"Fresno-Madera, CA  CFS Area "
266,26,26-266,C,"Grand Rapids-Wyoming-Muskegon, MI  CFS Area "
268,37,37-268,C,"Greensboro--Winston-Salem--High Point, NC  CFS Area "
273,45,45-273,C,"Greenville-Spartanburg-Anderson, SC  CFS Area "
288,48,48-288,C,"Houston-The Woodlands, TX  CFS Area "
294,18,18-294,C,"Indianapolis-Carmel-Muncie, IN  CFS Area "
300,12,12-300,C,"Jacksonville-St. Marys-Palatka, FL-GA  CFS Area (FL Part)"
312,20,20-312,C,"Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (KS Part)"
312,29,29-312,C,"Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (MO Part)"
314,47,47-314,C,"Knoxville-Morristown-Sevierville, TN  CFS Area "
332,32,32-332,C,"Las Vegas-Henderson, NV-AZ  CFS Area (NV Part)"
348,06,06-348,C,"Los Angeles-Long Beach, CA  CFS Area "
350,21,21-350,C,"Louisville/Jefferson County-Elizabethtown-Madison, KY-IN  CFS Area (KY Part)"
368,47,47-368,C,"Memphis, TN-MS-AR  CFS Area (TN Part)"
370,12,12-370,C,"Miami-Fort Lauderdale-Port St. Lucie, FL  CFS Area "
376,55,55-376,C,"Milwaukee-Racine-Waukesha, WI  CFS Area "
378,27,27-378,C,"Minneapolis-St. Paul, MN-WI  CFS Area (MN Part)"
